Raster,Red,Green,Blue,NIR,FC,ch1,CH,wc,WC,geom,GEOM,NDVI,EVI,SAVI,AVI,BAI,BCC,BITM,BIXS,BNDVI,CIG,CVI,DSWI4,DVI,EVI2,ExG,ExGR,ExR,FCVI,GARI,GBNDVI,GCC,GEMI,GLI,GNDVI,GOSAVI,GRNDVI,GRVI,IKAW,IPVI,MCARI1,MCARI2,MGRVI,MRBVI,MSAVI,MSR,MTVI1,MTVI2,NDDI,NDGlaI,NDSII,NDTI,NDYI,NIRv,NLI,NormG,NormNIR,NormR,OSAVI,PISI,RCC,RDVI,RGBVI,RGRI,RI4XS,SI,SR,TDVI,TGI,TVI,TriVI,VARI,VrNIRBI,LAI,AFC
BAR_190730_1028_0086,0.07053769,0.06772405,0.010813772,0.3722818,0.192708333,1.897068787,1.5,0.365695753,0.462499999,1.316091469,1.040624998,0.681415603,0.440012966,0.480066619,0.470884213,10.16384625,0.072538889,0.056800969,0.069145183,0.943545304,4.497039826,5.725417944,0.960111538,0.30174411,0.48934474,0.054096638,0.030121691,0.023974947,0.322589963,0.672100337,0.651577624,0.454293593,0.763280317,0.249523742,0.692167502,0.507591301,0.458374344,5.497039826,0.734146831,0.840707802,0.43012224,0.420123572,-0.040683349,0.954074585,0.475561094,1.707319581,0.43012224,0.420123572,-127.752612,-0.020350098,-0.692167502,0.020350098,0.724622565,0.253678627,0.325422387,0.13265088,0.729187172,0.138161948,0.500554669,-0.12964497,0.473167518,0.453445857,0.714813202,1.041545655,236.5215844,0.949915065,5.277771359,0.537485427,3.31613928,1.086929438,17.992101,-0.022076774,-0.681415603,0.68,0.8
BAR_190730_1028_0087,0.067229874,0.070920065,0.010574373,0.4205171,0.262152778,1.704097748,1.597068429,0.553812128,0.590926465,1.608242251,1.507233331,0.724324793,0.506261529,0.536504644,0.517482191,7.630881413,0.0711005,0.056748947,0.069099608,0.950941396,4.9294517,5.620923933,1.054889155,0.353287226,0.558338382,0.064035883,0.047557112,0.016478771,0.370942329,0.721082352,0.675328426,0.476855896,0.822586505,0.291543466,0.711376876,0.536655036,0.505430142,5.9294517,0.728180057,0.862162397,0.514490303,0.498740877,0.053384894,0.951716213,0.545314116,1.950965071,0.514490303,0.498740877,110.8828255,0.026711492,-0.711376876,-0.026711492,0.740488474,0.304590961,0.449081103,0.126945139,0.752715071,0.12033979,0.545409304,-0.15750403,0.452043604,0.505860353,0.752319424,0.947966898,178.6685425,0.950029202,6.254914296,0.614347224,3.749898205,1.106492112,21.3448412,0.028925531,-0.724324793,0.86,0.77
BAR_190730_1028_0088,0.06354534,0.07029545,0.009444302,0.39828464,0.296875,1.716216278,1.5,0.622736198,0.7125,1.834206147,1.603125,0.724810676,0.489750274,0.522035038,0.499799333,8.638156611,0.065912663,0.05498077,0.06700545,0.953673625,4.665866567,5.121802584,1.106225098,0.3347393,0.539625858,0.067601258,0.055287766,0.012313492,0.350522943,0.71681538,0.666377895,0.490598492,0.803288533,0.316514123,0.699963991,0.521793794,0.496957738,5.665866567,0.741215281,0.862405338,0.492554764,0.486997548,0.100611841,0.956777122,0.527560087,1.953996533,0.492554764,0.486997548,57.3426467,0.050433877,-0.699963991,-0.050433877,0.763121862,0.288680959,0.427972944,0.132103158,0.748478869,0.119417973,0.538313222,-0.145679469,0.443488845,0.492567374,0.783404691,0.903975151,165.3706958,0.951853704,6.267723802,0.59084891,3.88732273,1.10671165,20.3543624,0.054262866,-0.724810676,0.87,0.76
BAR_190730_1028_0089,0.060199,0.06846413,0.008863932,0.4055785,0.401041667,1.833179474,1.5,0.787566096,0.962500001,2.646652868,2.165625002,0.741511773,0.507823502,0.536427127,0.508708657,8.263874145,0.064452275,0.052882971,0.064464163,0.957224785,4.923956092,5.208803979,1.137296799,0.3453795,0.557043548,0.067865328,0.058070758,0.00979457,0.359736146,0.735692407,0.67973903,0.497822967,0.816059699,0.329457427,0.711147793,0.531690385,0.518333568,5.923956092,0.743308552,0.870755887,0.510240083,0.508438456,0.127949062,0.957558662,0.545976749,2.062588848,0.510240083,0.508438456,47.84153919,0.064238527,-0.711147793,-0.064238527,0.770744752,0.300741233,0.464166471,0.128151994,0.759166784,0.112681223,0.551920611,-0.150337937,0.437724758,0.506066167,0.795592305,0.879277952,164.9400716,0.953797666,6.737296301,0.608570374,3.86529143,1.114231472,21.0533752,0.06899153,-0.741511773,1.06,0.74
BAR_190730_1028_0090,0.06837812,0.0755303,0.010260595,0.40532744,0.203125,1.703215332,1.5,0.429335027,0.4875,1.245476212,1.096875,0.711305394,0.484500804,0.519072706,0.502963832,8.315940259,0.066554197,0.059120423,0.07204302,0.950621317,4.366421688,4.858259879,1.104597494,0.33694932,0.536736685,0.072421885,0.059060629,0.013361256,0.353937768,0.700359227,0.650630453,0.489918808,0.804423958,0.315289948,0.685851786,0.51461833,0.475968594,5.366421688,0.739044693,0.855652697,0.496364422,0.482444369,0.099154133,0.955957676,0.523595684,1.872197949,0.496364422,0.482444369,54.89034025,0.049699524,-0.685851786,-0.049699524,0.760799908,0.288311594,0.412226978,0.137518879,0.737984297,0.124496824,0.531712741,-0.149049807,0.443526995,0.489564979,0.780969873,0.905307142,143.6645025,0.948166064,5.927735948,0.590475792,4.1665086,1.100593201,20.5030464,0.053515125,-0.711305394,0.74,0.83
BAR_190730_1028_0091,0.057406574,0.066914625,0.008238962,0.44721687,0.513888889,1.82843132,1.813340163,1.011796276,1.020216746,3.382597943,3.354679302,0.772477578,0.563353931,0.582024486,0.547728446,6.589737876,0.062152625,0.051123909,0.062342128,0.963821028,5.683394998,5.733736227,1.165626519,0.389810296,0.61484559,0.068183714,0.060469793,0.007713921,0.40303015,0.771031139,0.712259428,0.504786842,0.863734615,0.341816203,0.739698401,0.564136593,0.564959166,6.683394998,0.748986374,0.886238789,0.576159386,0.568734866,0.152069968,0.959635731,0.604289463,2.29028105,0.576159386,0.568734866,46.13221331,0.076479724,-0.739698401,-0.076479724,0.780743346,0.345465005,0.553966941,0.117078159,0.782479583,0.100442258,0.586513009,-0.174729517,0.433060533,0.548743759,0.808921528,0.857907729,164.3762485,0.955471221,7.790342444,0.671860626,3.853321565,1.128041479,23.7689398,0.081907889,-0.772477578,1.19,0.77
BAR_190730_1028_0092,0.055222377,0.0636181,0.007812239,0.41211715,0.557291667,2.128425598,2.146330976,0.942598136,0.934734681,4.270153859,4.306076523,0.763673416,0.529561586,0.553417021,0.517960718,7.937041933,0.061682365,0.048846032,0.059568337,0.962792607,5.477985825,5.623081724,1.152034799,0.356894773,0.577630168,0.064201584,0.056030594,0.00817099,0.369899578,0.760499936,0.704557088,0.50230348,0.830035277,0.33742213,0.732548303,0.548182675,0.552354196,6.477985825,0.752128608,0.881836708,0.527025801,0.532576483,0.140592301,0.960758557,0.568361206,2.221602635,0.527025801,0.532576483,48.07120584,0.070646998,-0.732548303,-0.070646998,0.781262721,0.314722912,0.509271661,0.119817659,0.776177098,0.104005243,0.568902098,-0.154949399,0.436014155,0.522064221,0.807349006,0.868029334,186.1690211,0.957470697,7.462865099,0.628700199,3.642201965,1.124132295,21.7495153,0.075617907,-0.763673416,1.42,0.8
BAR_190730_1028_0093,0.06163376,0.06869523,0.008628394,0.4161231,0.477430556,1.906095428,1.847568753,0.901712462,0.930276613,3.27610152,3.175508797,0.741986918,0.51488311,0.543830508,0.517288067,7.794497711,0.062093814,0.053516989,0.065260076,0.959372037,5.057525392,5.434847022,1.114571462,0.35448934,0.566622985,0.067128306,0.055699648,0.011428658,0.369803972,0.735259907,0.686597883,0.494361854,0.82562525,0.323272145,0.716614551,0.538799618,0.52299939,6.057525392,0.754394265,0.870993459,0.521480543,0.515060475,0.108046575,0.961556456,0.555148233,2.065810034,0.521480543,0.515060475,57.48779754,0.054181882,-0.716614551,-0.054181882,0.776823859,0.308757896,0.474993109,0.12571135,0.761499695,0.112788955,0.555837753,-0.156578217,0.443544332,0.512861046,0.797441601,0.897205818,170.5811343,0.953308706,6.751544933,0.620314841,3.85116161,1.114444668,21.5518192,0.058023298,-0.741986918,1.38,0.76
BAR_190730_1028_0094,0.062269904,0.06885082,0.00853209,0.41107485,0.605902778,1.709591675,1.668550634,1.275889461,1.307272286,3.729046842,3.639526072,0.736894078,0.506776626,0.537535562,0.512303275,8.02071845,0.06109501,0.053823083,0.065642884,0.959332941,4.970514948,5.399839721,1.105683734,0.348804946,0.558795082,0.066899646,0.054799591,0.012100055,0.364523912,0.728570746,0.683154138,0.493014197,0.819259454,0.320856019,0.713077152,0.534787157,0.516334215,5.970514948,0.758987296,0.868447039,0.512545351,0.506269672,0.100127273,0.963144132,0.54714149,2.031677413,0.512545351,0.506269672,60.87986535,0.050189747,-0.713077152,-0.050189747,0.779483868,0.302918623,0.461455153,0.126985212,0.758167107,0.11484768,0.55073472,-0.153761938,0.445890793,0.506983529,0.798437081,0.904417754,172.551971,0.953071012,6.601501265,0.611843331,3.84945586,1.112157398,21.1915334,0.053682921,-0.736894078,1.37,0.79
BAR_190730_1028_0095,0.055681232,0.06418054,0.008028619,0.42143923,0.586805556,1.762497711,1.763992696,1.198583118,1.197567318,3.723276417,3.726434573,0.766594659,0.539366799,0.56148348,0.526036409,7.541337644,0.062777343,0.04927474,0.060081367,0.962611315,5.566464383,5.696879876,1.15264224,0.365757998,0.588007314,0.064651229,0.056446167,0.008205062,0.3788091,0.764626906,0.707446998,0.501840205,0.839463252,0.3366008,0.735675753,0.553357729,0.557134491,6.566464383,0.747963027,0.88329733,0.539950438,0.542576931,0.141108981,0.959265966,0.578606532,2.244013124,0.539950438,0.542576931,48.58743716,0.070909247,-0.735675753,-0.070909247,0.777628791,0.323073063,0.522648263,0.118567192,0.778567245,0.102865562,0.574079817,-0.160118354,0.435382452,0.529516882,0.804193923,0.867571884,182.7276229,0.957054373,7.568784218,0.640687928,3.66659104,1.125430877,22.2854522,0.075999896,-0.766594659,1.51,0.78
BAR_190730_1028_0096,0.053684197,0.062123023,0.007942321,0.3910461,0.517361111,1.899270401,1.737137687,0.980639723,1.07216602,3.537391121,3.235418941,0.75857639,0.510046554,0.535647958,0.499789004,8.949613093,0.06418061,0.047624726,0.05805714,0.960187712,5.294704944,5.439628723,1.157193857,0.337361903,0.554912376,0.062619528,0.054953095,0.007666433,0.349796253,0.755825168,0.696102342,0.502006088,0.808549457,0.336894949,0.725828527,0.536431247,0.54303458,6.294704944,0.742243396,0.879288195,0.498965709,0.511292293,0.144969419,0.957162045,0.545735593,2.183355472,0.498965709,0.511292293,45.32829932,0.072869602,-0.725828527,-0.072869602,0.773288175,0.296638339,0.480311013,0.122566077,0.77151729,0.105916633,0.557871674,-0.142758589,0.433813302,0.505880198,0.801020889,0.864159444,193.500726,0.958457728,7.284193894,0.602004997,3.54620103,1.12186291,20.57926722,0.078235145,-0.75857639,1.41,0.82
BAR_190730_1028_0097,0.06792171,0.07054967,0.009155706,0.41352803,0.421875,1.91802063,1.636354454,0.791831942,0.928130208,2.912993832,2.485213327,0.717845065,0.49304981,0.528207873,0.510716247,7.935809794,0.062019147,0.056787445,0.069248157,0.95667822,4.861516149,5.643175936,1.038691016,0.34560632,0.548045547,0.064021924,0.046273371,0.017748553,0.364319001,0.707445783,0.676804632,0.477891096,0.814076009,0.293440627,0.708519232,0.532510845,0.498291565,5.861516149,0.76242831,0.858922533,0.501772718,0.486805832,0.037943058,0.964307584,0.534950665,1.91118132,0.501772718,0.486805832,152.9476448,0.018978362,-0.708519232,-0.018978362,0.770261268,0.296849056,0.431444167,0.12780751,0.749145783,0.123046708,0.538789399,-0.154657971,0.460089756,0.498088136,0.777868517,0.962750216,186.2246968,0.950374256,6.088304167,0.603076111,3.77561644,1.103560177,20.8414976,0.020322053,-0.717845065,1.31,0.81
BAR_190730_1028_0098,0.055834502,0.06606957,0.008167131,0.41098136,0.513888889,2.0249897,1.754545856,0.913584894,1.054403904,3.746230946,3.245909834,0.760785755,0.527007039,0.55100491,0.516526661,7.991145409,0.062789694,0.050164336,0.061166493,0.961029892,5.220433401,5.256804322,1.183310814,0.355146858,0.574677181,0.068137507,0.061622224,0.006515283,0.367624292,0.757157915,0.694006852,0.50794925,0.827965228,0.347390835,0.723008317,0.541419491,0.542475494,6.220433401,0.744783668,0.880392877,0.527378182,0.5320594,0.166744605,0.958104289,0.565158685,2.199803309,0.527378182,0.5320594,39.27725516,0.083960017,-0.723008317,-0.083960017,0.77997053,0.312668764,0.503119541,0.123984568,0.771237747,0.104777685,0.566588817,-0.154007296,0.429261056,0.519798683,0.81083212,0.845086505,163.606055,0.956313712,7.36070611,0.625760385,3.83237372,1.122847165,21.7182142,0.089988951,-0.760785755,1.01,0.92
