TARP,Tair,RH,VPD,Tair_1hr,RH_1hr,VPD_1hr,IRT
47.38,34.87,33.43,37.4,32.97,35.35,32.7,53.07
28.58,18.67,54.16,9.9,16.87,59.11,7.9,34.09
34.33,22.46,48.24,14.1,20.41,52.5,11.5,40.01
32.53,25.43,40.06,19.6,24.71,42.69,17.9,37.14
30.85,20.41,52.5,11.5,18.67,54.16,9.9,35.72
35.03,22.46,48.24,14.1,20.41,52.5,11.5,40.29
31.35,25.43,40.06,19.6,24.71,42.69,17.9,35.9
46.98,33,24,12,28.75,37.5,15,50.59
35.8,23.61,48.45,15.1,21.44,53.63,11.9,39.27
34,28.04,36.8,24.1,27.16,38.15,22.4,37.08
16.09,14.19,74.56,4.1,13.79,75.2,3.9,15.24
15.74,14.19,74.56,4.1,13.79,75.2,3.9,16.78
34.5,24.49,47.38,16.3,22.07,54.13,12.3,37.03
34.64,24.49,47.38,16.3,22.07,54.13,12.3,38.62
43.63,31.87,25.17,35.5,31.93,28.94,33.8,39.47
35.54,31.87,25.17,35.5,31.93,28.94,33.8,38.86
33.14,23.03,50.92,13.9,20.6,58.08,10.3,36.26
33.18,23.03,50.92,13.9,20.6,58.08,10.3,36.94
36.99,25.06,45.4,17.4,23.03,50.92,13.9,38.24
35.94,25.06,45.4,17.4,23.03,50.92,13.9,39.89
35.83,31.98,30.63,33.1,30.75,32.32,30.1,39.96
35.41,31.98,30.63,33.1,30.75,32.32,30.1,38.6
33.87,28.21,25.96,28.5,28.1,27.68,27.6,37.23
15.58,17.83,71.42,5.9,17.82,71.86,5.8,17.65
24.53,26.39,42.1,20,24,49.15,15.3,39.53
36.28,28.59,36.79,24.9,26.39,42.1,20,42.76
38.17,27.9,42,16,26.65,46.5,16.5,53.23
44.06,27.11,37.11,22.7,26.6,38.39,21.6,50.24
40.12,26.6,38.39,21.6,27.9,42,16,51.93
39.75,27.19,37.66,22.6,26.6,38.39,21.6,46.89
2.05,12.61,41.43,8.6,12.91,35.31,9.7,-0.75
21.47,25.11,22.45,24.8,23.5,26,21.5,16.43
27.45,26.76,21.96,27.6,25.11,22.45,24.8,18.53
32.7,30.69,31.76,30.3,29.35,32.69,27.6,27.34
32.09,33.35,25.69,38.3,32.36,29.12,34.6,26.25
18.87,22.03,56.03,11.7,22.83,51.09,13.7,13.28
33.56,32.97,35.35,32.7,31.58,42.53,26.8,30.01
37.57,34.87,33.43,37.4,32.97,35.35,32.7,33.47
35.64,37.76,28.12,47.3,36.83,33.05,41.8,32.11
40.82,23.85,45.6,16.2,23.49,45.78,15.8,51.33
37.91,18.67,54.16,9.9,16.87,59.11,7.9,47.66
45.38,22.46,48.24,14.1,20.41,52.5,11.5,56.42
42.58,25.43,40.06,19.6,24.71,42.69,17.9,52.53
39.47,20.41,52.5,11.5,18.67,54.16,9.9,50.3
45.33,22.46,48.24,14.1,20.41,52.5,11.5,56.84
40.42,25.43,40.06,19.6,24.71,42.69,17.9,50.98
35.61,33,24,12,28.75,37.5,15,28.94
44.75,23.61,48.45,15.1,21.44,53.63,11.9,52.65
41.8,28.04,36.8,24.1,27.16,38.15,22.4,49.55
17.42,14.19,74.56,4.1,13.79,75.2,3.9,17.21
17.49,14.19,74.56,4.1,13.79,75.2,3.9,18.85
38.07,24.49,47.38,16.3,22.07,54.13,12.3,38.87
38.73,24.49,47.38,16.3,22.07,54.13,12.3,40.6
46.68,31.87,25.17,35.5,31.93,28.94,33.8,42.37
38.95,31.87,25.17,35.5,31.93,28.94,33.8,41.48
36.98,23.03,50.92,13.9,20.6,58.08,10.3,40.49
37.56,23.03,50.92,13.9,20.6,58.08,10.3,41.91
42.13,25.06,45.4,17.4,23.03,50.92,13.9,43.39
40.97,25.06,45.4,17.4,23.03,50.92,13.9,45.49
39.6,31.98,30.63,33.1,30.75,32.32,30.1,46.46
39.56,31.98,30.63,33.1,30.75,32.32,30.1,44.83
22.29,25.61,33.58,21.9,24.52,34.04,20.4,18.34
22.31,28.21,25.96,28.5,28.1,27.68,27.6,16.11
8.63,17.83,71.42,5.9,17.82,71.86,5.8,4.94
13.11,26.39,42.1,20,24,49.15,15.3,18.65
25.06,28.59,36.79,24.9,26.39,42.1,20,21.51
28.93,32.5,34.05,32.4,31.21,36.6,29,23.66
42.24,27.9,42,16,26.65,46.5,16.5,60.18
48,27.11,37.11,22.7,26.6,38.39,21.6,55.04
43.87,26.6,38.39,21.6,27.9,42,16,59.19
42.37,27.19,37.66,22.6,26.6,38.39,21.6,51.5
11.03,12.61,41.43,8.6,12.91,35.31,9.7,17.22
45.15,25.11,22.45,24.8,23.5,26,21.5,59.18
51.91,26.76,21.96,27.6,25.11,22.45,24.8,60.67
55.58,30.69,31.76,30.3,29.35,32.69,27.6,64.2
53.09,33.35,25.69,38.3,32.36,29.12,34.6,59.54
24.3,22.03,56.03,11.7,22.83,51.09,13.7,25.52
